Laboratory,Related Institution,Partner Institution,Partner Country,Partner City,Partner Program,latitude,longitude
UMR 1347 Agro-Ecologie (AE),"INRAE, Institut Agro Dijon, UBFC",Université de Birmingham,Royaume-Uni,Birmingham,Recherche sur les écosystèmes agricoles,52.4796992,-1.9026911
UMR 1347 Agro-Ecologie (AE),"INRAE, Institut Agro Dijon, UBFC",Agroecology Partnership,Multiples (26 pays européens),Divers,Horizon Europe - Initiative Agroécologie,,
UMR 1347 Agro-Ecologie (AE),"INRAE, Institut Agro Dijon, UBFC",INRA-EGFV,Italie,Multiple,Collaboration sur la biodiversité en agriculture,,
UMR 1347 Agro-Ecologie (AE),"INRAE, Institut Agro Dijon, UBFC",RECOVER UMR 1467,Canada,Multiple,Recherche en agroécologie,,
UMR 6282 Biogéosciences (BGS),"CNRS, UBFC, EPHE",ICA-CSIC,Espagne,Madrid,Projet SENSAAS - Méthodologies analytiques pour la caractérisation de la matière organique naturelle et des microplastiques,40.4167047,-3.7035825
UMR 6282 Biogéosciences (BGS),"CNRS, UBFC, EPHE",COSTEL Lab,France,Rennes,Projet collaboratif en biogéosciences,48.1113387,-1.6800198
UMR 6282 Biogéosciences (BGS),"CNRS, UBFC, EPHE",PRODIG Lab,France,Paris,Recherche en biogéosciences,48.8534951,2.3483915
UMR 1041 Centre d'Economie et de Sociologie Appliquée à l'Agriculture et aux Espaces Ruraux (CESAER),"INRAE, Institut Agro Dijon, UBFC",North American Regional Science Council,États-Unis,Multiple,Recherche en science régionale et économie agricole,,
UMR 1041 Centre d'Economie et de Sociologie Appliquée à l'Agriculture et aux Espaces Ruraux (CESAER),"INRAE, Institut Agro Dijon, UBFC",Journal of Economic Geography (Oxford),Royaume-Uni,Oxford,Collaboration académique en géographie économique,51.7520131,-1.2578499
UMR 6265 Centre des Sciences du Goût et de l'Alimentation (CSGA),"CNRS, INRAE, AgroSup Dijon, UBFC",ANR Colostrum,Allemagne,Multiple,Programme international Colostrum,,
UMR 6265 Centre des Sciences du Goût et de l'Alimentation (CSGA),"CNRS, INRAE, AgroSup Dijon, UBFC",ANR Colostrum,Brésil,Multiple,Programme international Colostrum,,
UMR 6265 Centre des Sciences du Goût et de l'Alimentation (CSGA),"CNRS, INRAE, AgroSup Dijon, UBFC",ANR Colostrum,Bolivie,Multiple,Programme international Colostrum,,
UMR 6265 Centre des Sciences du Goût et de l'Alimentation (CSGA),"CNRS, INRAE, AgroSup Dijon, UBFC",ANR Colostrum,Burkina Faso,Multiple,Programme international Colostrum,,
UMR 6249 Chrono-environnement (CE),"CNRS, UBFC",RISCDIS International Research Network,Multiple,Multiple,Réseau international de recherche RISCDIS,,
UMR 6249 Chrono-environnement (CE),"CNRS, UBFC",Glacier Stewardship Program,Multiple,Multiple,Programme international de conservation des glaciers,,
UMR 6249 Chrono-environnement (CE),"CNRS, UBFC",Stazione Zoologica Anton Dohr,Italie,Naples,Recherche environnementale,40.8358846,14.2487679
UMR A 02.102 Procédés Alimentaires et Microbiologiques (PAM),"Institut Agro Dijon, UBFC, INRAE",University of Madrid,Espagne,Madrid,Recherche sur les procédés alimentaires,40.4167047,-3.7035825
UMR A 02.102 Procédés Alimentaires et Microbiologiques (PAM),"Institut Agro Dijon, UBFC, INRAE",Science & Wine World Congress,Multiple,Multiple,Consortium international sur la science du vin,,
UMR 6049 Théoriser et Modéliser pour Aménager (ThéMA),"CNRS, UBFC",GDRI-INTI International Research Group,Multiple (Europe),Multiple,Réseau international d'intelligence territoriale,,
UMR 6049 Théoriser et Modéliser pour Aménager (ThéMA),"CNRS, UBFC",ISSW (International Snow Science Workshop),Autriche,Innsbruck,Recherche sur la neige,47.2654296,11.3927685
UMR 6049 Théoriser et Modéliser pour Aménager (ThéMA),"CNRS, UBFC",Université de Bourgogne Franche-Comté,France,Dijon,MOBilities of e-Shopping (MOBS),47.3215806,5.0414701
EA 3190 Centre de REcherche sur les Stratégies Economiques (CRESE),Université de Franche-Comté,Université de Haute-Alsace,France,Mulhouse,Recherche sur les discriminations dans le marché du logement,47.7467233,7.3389937
EA 3190 Centre de REcherche sur les Stratégies Economiques (CRESE),Université de Franche-Comté,Université Bourgogne-Franche-Comté,France,Dijon,Stratégies économiques et axiomatisation,47.3215806,5.0414701
EA 7467 Laboratoire d'Economie de Dijon (LEDI),Université de Bourgogne,Université de Paris-Saclay,France,Paris,Projets de recherche en économie de la santé,48.8534951,2.3483915
EA 7467 Laboratoire d'Economie de Dijon (LEDI),Université de Bourgogne,Unité mixte de recherche 1018,France,Paris,Centre de recherche en épidémiologie et santé des populations,48.8534951,2.3483915
EA 7467 Laboratoire d'Economie de Dijon (LEDI),Université de Bourgogne,"IDEES (Identité et Différenciation de l'Espace, de l'Environnement et des Sociétés)",France,Rouen,Projet Green land uses in urban regions,49.4404591,1.0939658
EA 7317 Centre de Recherche en Gestion des Organisations (CREGO),"Université de Bourgogne, Université de Franche-Comté, Université de Haute-Alsace",Université de Haute-Alsace,France,Mulhouse,Recherche en sciences de gestion,47.7467233,7.3389937
EA 7317 Centre de Recherche en Gestion des Organisations (CREGO),"Université de Bourgogne, Université de Franche-Comté, Université de Haute-Alsace",Université de Bourgogne-Franche-Comté,France,Dijon,Recherche en gouvernance des organisations,47.3215806,5.0414701